4177,ALIBAG,520
4178,MURUD,520
4179,ROHA,520
4180,SUDHAGAD,520
4181,MANGAON,520
4182,TALA,520
4183,SHRIVARDHAN,520
4184,MHASLA,520
4185,MAHAD,520
4186,POLADPUR,520
4187,JUNNAR,521
4188,AMBEGAON,521
4189,SHIRUR,521
4190,KHED,521
4191,MAWAL,521
4192,MULSHI,521
4193,HAVELI,521
4194,PUNE CITY,521
4195,DAUND,521
4196,PURANDHAR,521
4197,VELHE,521
4198,BHOR,521
4199,BARAMATI,521
4200,INDAPUR,521
4201,AKOLA,522
4202,SANGAMNER,522
4203,KOPARGAON,522
4204,RAHTA,522
4205,SHRIRAMPUR,522
4206,NEVASA,522
4207,SHEVGAON,522
4208,PATHARDI,522
4209,NAGAR,522
4210,RAHURI,522
4211,PARNER,522
4212,SHRIGONDA,522
4213,KARJAT,522
4214,JAMKHED,522
4215,ASHTI,523
4216,PATODA,523
4217,SHIRUR (KASAR),523
4218,GEORAI,523
4219,MANJLEGAON,523
4220,WADWANI,523
4221,BID,523
4222,KAIJ,523
4223,DHARUR,523
4224,PARLI,523
4225,AMBEJOGAI,523
4226,LATUR,524
4227,RENAPUR,524
4228,AHMADPUR,524
4229,JALKOT,524
4230,CHAKUR,524
4231,SHIRUR-ANANTPAL,524
4232,AUSA,524
4233,NILANGA,524
4234,DEONI,524
4235,UDGIR,524
4236,PARANDA,525
4237,BHUM,525
4238,WASHI,525
4239,KALAMB,525
4240,OSMANABAD,525
4241,TULJAPUR,525
4242,LOHARA,525
4243,UMARGA,525
4244,KARMALA,526
4245,MADHA,526
4246,BARSHI,526
4247,SOLAPUR NORTH,526
4248,MOHOL,526
4249,PANDHARPUR,526
4250,MALSHIRAS,526
4251,SANGOLE,526
4252,MANGALVEDHE,526
4253,SOLAPUR SOUTH,526
4254,AKKALKOT,526
4255,MAHABALESHWAR,527
4256,WAI,527
4257,KHANDALA,527
4258,PHALTAN,527
4259,MAN,527
4260,KHATAV,527
4261,KOREGAON,527
4262,SATARA,527
4263,JAOLI,527
4264,PATAN,527
4265,KARAD,527
4266,MANDANGAD,528
4267,DAPOLI,528
4268,KHED,528
4269,CHIPLUN,528
4270,GUHAGAR,528
4271,RATNAGIRI,528
4272,SANGAMESHWAR,528
4273,LANJA,528
4274,RAJAPUR,528
4275,DEVGAD,529
4276,VAIBHAVVADI,529
4277,KANKAVLI,529
4278,MALWAN,529
4279,VENGURLA,529
4280,KUDAL,529
4281,SAWANTWADI,529
4282,DODAMARG,529
4283,SHAHUWADI,530
4284,PANHALA,530
4285,HATKANANGLE,530
4286,SHIROL,530
4287,KARVIR,530
4288,BAVDA,530
4289,RADHANAGARI,530
4290,KAGAL,530
4291,BHUDARGAD,530
4292,AJRA,530
4293,GADHINGLAJ,530
4294,CHANDGAD,530
4295,SHIRALA,531
4296,WALWA,531
4297,PALUS,531
4298,KADEGAON,531
4299,KHANAPUR (VITA),531
4300,ATPADI,531
4301,TASGAON,531
4302,MIRAJ,531
4303,KAVATHEMAHANKAL,531
4304,JAT,531
